      22,   0.011048,   0.968870,   0.135689
      42,   0.016908,   0.975096,   0.135445
      52,   0.018617,   0.972166,   0.137032
      72,   0.019593,   0.970823,   0.136422
      82,   0.019227,   0.973509,   0.135812
      92,   0.024477,   0.968504,   0.135934
     102,   0.027529,   0.961057,   0.143136
     132,   0.028261,   0.957151,   0.144845
     142,   0.028749,   0.960081,   0.145822
     162,   0.032412,   0.957395,   0.143258
     172,   0.035952,   0.953855,   0.143625
     192,   0.043032,   0.953000,   0.146066
     202,   0.045474,   0.953610,   0.151560
     222,   0.046939,   0.954953,   0.152902
     242,   0.048770,   0.953610,   0.154001
     262,   0.043765,   0.996216,   0.156687
     292,   0.047061,   0.993530,   0.163645
     322,   0.058903,   1.000000,   0.175853
     342,   0.028383,   1.000000,   0.156076
     362,   0.028749,   1.000000,   0.155222
     372,   0.032045,   1.000000,   0.161326
     402,   0.037051,   1.000000,   0.165110
     422,   0.036929,   1.000000,   0.157541
     452,   0.036562,   0.992065,   0.147165
     472,   0.032900,   1.000000,   0.148752
     502,   0.031435,   0.963133,   0.129219
     522,   0.045962,   0.975951,   0.133004
     532,   0.052677,   0.970945,   0.124825
     552,   0.049869,   0.976683,   0.114570
     572,   0.038393,   1.000000,   0.122749
     592,   0.053409,   1.000000,   0.122871
     622,   0.053409,   0.977660,   0.099799
     632,   0.044742,   0.986449,   0.082464
     652,   0.039736,   0.989257,   0.077947
     672,   0.032412,   1.000000,   0.067082
     682,   0.036074,   1.000000,   0.052799
     702,   0.045840,   1.000000,   0.053897
     722,   0.053775,   0.970213,   0.039004
     742,   0.052677,   0.968626,   0.039248
     762,   0.045474,   0.984984,   0.012513
     772,   0.022890,   0.990722,  -0.004456
     802,   0.022035,   0.979613,  -0.015199
     822,   0.017884,   0.975218,  -0.026674
     842,   0.029238,   0.983275,  -0.040469
     852,   0.027651,   0.981078,  -0.044131
     872,   0.036929,   0.989501,  -0.054264
     892,   0.011170,   0.995117,  -0.088934
     912,   0.036684,   1.000000,  -0.086736
     922,   0.036440,   1.000000,  -0.089300
     942,   0.018006,   1.000000,  -0.114570
     952,   0.016664,   0.987182,  -0.128975
     972,   0.012269,   0.994506,  -0.137154
     992,   0.029726,   1.000000,  -0.147287
    1002,   0.046817,   1.000000,  -0.146921
    1022,   0.045962,   0.988158,  -0.152414
    1042,   0.047549,   0.986083,  -0.155710
    1062,   0.016175,   0.999146,  -0.197339
    1072,   0.009217,   0.983031,  -0.223830
    1082,   0.008118,   0.986205,  -0.212598
    1102,   0.008851,   0.986083,  -0.216139
    1112,   0.021303,   0.984496,  -0.225417
    1122,   0.030703,   0.990966,  -0.218092
    1142,   0.038393,   0.977782,  -0.219679
    1152,   0.035219,   0.958249,  -0.237380
    1172,   0.033388,   0.962766,  -0.258133
    1182,   0.035708,   1.000000,  -0.251541
    1202,   0.042422,   0.984740,  -0.256913
    1222,   0.045718,   0.909052,  -0.280352
    1242,   0.040957,   0.966429,  -0.280107
    1252,   0.042056,   0.967283,  -0.300739
    1272,   0.043399,   0.960447,  -0.311848
    1282,   0.051456,   0.968748,  -0.310139
    1292,   0.042910,   0.973875,  -0.304157
    1322,   0.053409,   0.942746,  -0.339559
    1342,   0.054752,   0.935543,  -0.353720
    1362,   0.056583,   0.910029,  -0.366294
    1372,   0.052677,   0.913691,  -0.369468
    1382,   0.039980,   0.959958,  -0.364829
    1402,   0.032656,   0.959714,  -0.377159
    1422,   0.027040,   0.947629,  -0.389855
    1442,   0.027529,   0.939816,  -0.396081
    1462,   0.021425,   0.930416,  -0.405481
    1472,   0.040835,   0.915888,  -0.412562
    1492,   0.063542,   0.853629,  -0.426601
    1522,   0.052432,   0.909540,  -0.450772
    1542,   0.055851,   0.927364,  -0.448941
    1572,   0.068303,   0.882927,  -0.481047
    1582,   0.068180,   0.905512,  -0.480315
    1602,   0.068303,   0.904047,  -0.491180
    1622,   0.049869,   0.878777,  -0.506195
    1642,   0.061100,   0.878777,  -0.507538
    1662,   0.079290,   0.868400,  -0.500092
    1682,   0.024843,   0.864738,  -0.545138
    1692,   0.015931,   0.859733,  -0.553684
    1702,   0.020692,   0.849722,  -0.551364
    1722,   0.027162,   0.863395,  -0.549289
    1742,   0.038027,   0.846182,  -0.545138
    1752,   0.031557,   0.837392,  -0.559177
    1772,   0.033632,   0.815907,  -0.581762
    1792,   0.022645,   0.845694,  -0.577489
    1812,   0.014588,   0.824086,  -0.590917
    1822,   0.009705,   0.823109,  -0.586401
    1832,   0.010071,   0.822865,  -0.585912
    1842,   0.012879,   0.830190,  -0.586523
    1852,  -0.006287,   0.817494,  -0.587621
    1872,  -0.029360,   0.812244,  -0.606177
    1892,  -0.034975,   0.787585,  -0.622414
    1902,  -0.046817,   0.792468,  -0.629860
    1922,  -0.041079,   0.777452,  -0.624733
    1942,  -0.030947,   0.759751,  -0.640359
    1973,  -0.009339,   0.829335,  -0.621559
    1992,   0.011048,   0.830922,  -0.621559
    2002,   0.014100,   0.828969,  -0.621315
    2022,   0.014710,   0.824818,  -0.622902
    2042,   0.026308,   0.815541,  -0.618629
    2052,   0.018861,   0.799548,  -0.627907
    2072,   0.009095,   0.772813,  -0.660258
    2082,  -0.017762,   0.791979,  -0.681987
    2102,  -0.004090,   0.786974,  -0.678081
    2122,   0.025087,   0.768174,  -0.673076
    2142,   0.056461,   0.713728,  -0.717146
    2152,   0.056827,   0.703961,  -0.726424
    2172,   0.057682,   0.748031,  -0.711774
    2182,   0.066838,   0.740585,  -0.714948
    2202,   0.061832,   0.733871,  -0.717146
    2222,   0.055118,   0.731307,  -0.726058
    2232,   0.049991,   0.738876,  -0.728377
    2242,   0.051090,   0.753403,  -0.727156
    2262,   0.051212,   0.757554,  -0.727034
    2272,   0.049136,   0.721418,  -0.736800
    2282,   0.057804,   0.711286,  -0.749008
    2302,   0.066838,   0.667338,  -0.761826
    2322,   0.077703,   0.693829,  -0.762437
    2342,   0.066227,   0.693951,  -0.762559
    2362,   0.035586,   0.625465,  -0.797351
    2372,   0.015565,   0.626076,  -0.804309
    2392,   0.012879,   0.624733,  -0.804065
    2422,   0.001648,   0.639138,  -0.806629
    2432,   0.005066,   0.578465,  -0.830678
    2452,   0.002136,   0.573094,  -0.828115
    2472,  -0.010438,   0.527925,  -0.851187
    2492,  -0.030336,   0.509980,  -0.852286
    2512,  -0.024843,   0.477507,  -0.887444
    2542,  -0.028993,   0.475798,  -0.882317
    2562,  -0.031801,   0.420131,  -0.909296
    2582,  -0.039248,   0.393762,  -0.906855
    2602,  -0.039004,   0.393762,  -0.915034
    2622,  -0.037051,   0.392419,  -0.916743
    2642,  -0.038638,   0.385583,  -0.921260
    2652,  -0.041079,   0.379601,  -0.923335
    2672,  -0.034731,   0.324666,  -0.933346
    2682,  -0.025575,   0.341146,  -0.917109
    2702,  -0.023744,   0.321003,  -0.916255
    2722,  -0.016664,   0.364707,  -0.907343
    2752,  -0.004822,   0.328938,  -0.930416
